line time mass lg(L) lg(Teff) 1H_surf 4He_surf 12C_surf 13C_surf 14N_surf 16O_surf 17O_surf 18O_surf 20Ne_surf 22Ne_surf 26Al_surf Mcc/Mt lg(Teff) lg(Md) lg(rhoc) lg(Tc) 1H_cen 4He_cen 12C_cen 13C_cen 14N_cen 16O_cen 17O_cen 18O_cen 20Ne_cen 22Ne_cen 26Al_cen Omeg_surf Omeg_cen Rp/Req Md/Md(0) v_crit1 v_crit2 v_equa Om/Om_cr Gamma_Ed lg(Mdot_mech) L_tot 
1 0.364481067198589E+05 39.981525 5.343182 4.649728 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6313 4.649728 -6.298 0.529311 7.617017 0.7169292E+00 0.2687835E+00 3.2486432E-05 8.8972577E-06 3.9497813E-03 4.9868787E-03 1.1810437E-05 1.4935099E-08 1.8759570E-03 7.7885496E-05 3.520E-06 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.145740 0.0000000E+00 0.0000000000E+00 
2 0.121675126718660E+06 39.938261 5.346404 4.645542 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6273 4.645542 -6.291 0.510405 7.611192 0.7085321E+00 0.2773587E+00 4.2193147E-05 1.1553259E-05 5.1921189E-03 3.5539083E-03 8.5868485E-06 1.0732531E-08 1.8737400E-03 1.4908977E-05 1.084E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.146984 0.0000000E+00 0.0000000000E+00 
3 0.207876169803162E+06 39.893682 5.349864 4.643134 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6235 4.643134 -6.282 0.501360 7.608644 0.7001104E+00 0.2858903E+00 4.8064597E-05 1.3159320E-05 5.9511649E-03 2.6785306E-03 6.5452602E-06 8.1160713E-09 1.8719486E-03 3.6308251E-06 1.542E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.148326 0.0000000E+00 0.0000000000E+00 
4 0.294077212887664E+06 39.848245 5.353423 4.641378 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6197 4.641378 -6.274 0.496029 7.607329 0.6916385E+00 0.2944379E+00 5.2120342E-05 1.4268860E-05 6.4718058E-03 2.0780867E-03 5.1042569E-06 6.3071148E-09 1.8703435E-03 1.2284022E-06 1.852E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.149717 0.0000000E+00 0.0000000000E+00 
5 0.377356186715063E+06 39.803506 5.356933 4.639998 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6161 4.639998 -6.266 0.492700 7.606663 0.6833747E+00 0.3027551E+00 5.5017691E-05 1.5061656E-05 6.8396277E-03 1.6538475E-03 4.0697869E-06 5.0231765E-09 1.8688867E-03 6.8552469E-07 2.060E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.151101 0.0000000E+00 0.0000000000E+00 
6 0.460927367468173E+06 39.757751 5.360495 4.638747 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6124 4.638747 -6.257 0.490356 7.606324 0.6749848E+00 0.3111857E+00 5.7469785E-05 1.5734517E-05 7.1195741E-03 1.3305826E-03 3.2453880E-06 4.0387461E-09 1.8674780E-03 5.6430964E-07 2.205E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.152521 0.0000000E+00 0.0000000000E+00 
7 0.544455739906666E+06 39.711132 5.364002 4.637618 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6085 4.637618 -6.249 0.488872 7.606281 0.6664887E+00 0.3197132E+00 5.9069539E-05 1.6171594E-05 7.3365707E-03 1.0804752E-03 2.6468891E-06 3.2770871E-09 1.8661005E-03 5.5662649E-07 2.303E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.153938 0.0000000E+00 0.0000000000E+00 
8 0.624588223713883E+06 39.665548 5.367467 4.636544 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6050 4.636544 -6.241 0.487880 7.606376 0.6582213E+00 0.3280044E+00 6.0474611E-05 1.6557816E-05 7.5002895E-03 8.9146196E-04 2.1735848E-06 2.6994213E-09 1.8647935E-03 5.8118717E-07 2.362E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.155349 0.0000000E+00 0.0000000000E+00 
9 0.705365375930855E+06 39.618725 5.371034 4.635485 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6016 4.635485 -6.233 0.487256 7.606594 0.6497716E+00 0.3364732E+00 6.1672349E-05 1.6887905E-05 7.6316705E-03 7.3966529E-04 1.7928121E-06 2.2366519E-09 1.8634820E-03 6.1734325E-07 2.394E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.156816 0.0000000E+00 0.0000000000E+00 
10 0.784099708275158E+06 39.572220 5.374545 4.634476 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.5983 4.634476 -6.225 0.486913 7.606894 0.6414224E+00 0.3448372E+00 6.2755950E-05 1.7184178E-05 7.7341303E-03 6.2103897E-04 1.4936938E-06 1.8792008E-09 1.8622035E-03 6.5791201E-07 2.404E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.158275 0.0000000E+00 0.0000000000E+00 
